n,d,t
1000,151,0.008598518002545462
1000,4,6.706199841573835e-05
1000,65,0.004529802000615746
1000,659,0.037058895996306095
1000,740,0.04488749400363304
1000,456,0.023507669998798518
1000,258,0.015168653997825458
1000,292,0.01606661400059238
1000,159,0.010474291999125853
1000,139,0.00844806800596416
1000,933,0.06256328200222924
1000,716,0.03897835399839096
1000,737,0.043336537999566646
1000,982,0.06665229600504972
1000,196,0.014099384003784507
1000,346,0.0190910199994687
1000,729,0.043461776000913235
1000,502,0.026022108003962784
1000,235,0.015320686000632123
1000,174,0.012790030003525316
1000,689,0.04026383999385871
1000,836,0.054952843999490145
1000,93,0.004167695998912677
1000,935,0.061615556003525855
1000,827,0.05461920199566521
1000,373,0.01914099799701944
1000,374,0.019582127997418864
1000,452,0.023696466002147646
1000,73,0.004711823997786269
1000,612,0.031779127998743203
1000,23,0.0008004519995301962
1000,11,0.00017428999883122742
1000,279,0.017613513998221607
1000,586,0.030898275995859877
1000,27,0.0008399879967328161
1000,463,0.025075437997002153
1000,579,0.028890839987434448
1000,293,0.015916645997203886
1000,714,0.040203928000992165
1000,157,0.008807897996157409
1000,718,0.039130190007854254
1000,372,0.01881681600236334
1000,682,0.03939587400178425
1000,416,0.021441398003371432
1000,117,0.008587246000533923
1000,971,0.06439163400093094
1000,524,0.02899936000467278
1000,504,0.026280541997402908
1000,719,0.03900425999658182
1000,58,0.00404983599903062
1000,153,0.008683957998873665
1000,164,0.009869267992908135
1000,264,0.01597358799423091
1000,700,0.037998932002810765
1000,750,0.045748294000513855
1000,828,0.05279444999643602
1000,24,0.0008970200025942177
1000,212,0.014417043997673318
1000,158,0.010534749999642372
1000,244,0.0164722860022448
1000,312,0.016399459997192025
1000,994,0.0691629580000881
1000,995,0.06610328200156801
1000,997,0.06714266399852932
1000,2,6.59059954341501e-05
1000,381,0.022920827999478206
1000,599,0.02984593000379391
1000,622,0.03304987399838865
1000,490,0.025564836000557988
1000,577,0.029371605998603625
1000,797,0.05309476600610651
1000,968,0.06486068000085651
1000,210,0.013289945998694748
1000,624,0.032130644000135364
1000,466,0.02542509000515565
1000,55,0.002725129999453202
1000,604,0.03137968999682925
